POSIÇÃO INICIAL: 50
================================
Movimento: L4      | 50 -> 46 
Movimento: R12     | 30 -> 42 
Movimento: R876    | 42 -> 18 
Movimento: L794    | 18 -> 24 
Movimento: R19     | 24 -> 43 
Movimento: R683    | 43 -> 26 
Movimento: L25     | 26 -> 01 
Movimento: L45     | 01 -> 56 
Movimento: L99     | 56 -> 57 
Movimento: L363    | 57 -> 94 
Movimento: L75     | 94 -> 19 
Movimento: R81     | 19 -> 00 <-- ZERO
Movimento: R70     | 00 -> 70 
Movimento: R77     | 70 -> 47 
Movimento: R53     | 47 -> 00 <-- ZERO
Movimento: L3      | 00 -> 97 
Movimento: L26     | 97 -> 71 
Movimento: R29     | 71 -> 00 <-- ZERO
Movimento: R63     | 00 -> 63 
Movimento: R93     | 63 -> 56 
Movimento: R75     | 56 -> 31 
Movimento: R69     | 31 -> 00 <-- ZERO
Movimento: R43     | 00 -> 43 
Movimento: R57     | 43 -> 00 <-- ZERO
Movimento: R25     | 00 -> 25 
Movimento: R83     | 25 -> 08 
Movimento: R4      | 08 -> 12 
Movimento: R79     | 12 -> 91 
Movimento: R715    | 91 -> 06 
Movimento: L6      | 06 -> 00 <-- ZERO
Movimento: L95     | 00 -> 05 
Movimento: R76     | 05 -> 81 
Movimento: L81     | 81 -> 00 <-- ZERO
Movimento: L36     | 00 -> 64 
Movimento: L64     | 64 -> 00 <-- ZERO
Movimento: L91     | 00 -> 09 
Movimento: R91     | 09 -> 00 <-- ZERO
Movimento: L130    | 00 -> 70 
Movimento: L66     | 70 -> 04 
Movimento: R83     | 04 -> 87 
Movimento: L87     | 87 -> 00 <-- ZERO
Movimento: R479    | 00 -> 79 
Movimento: R66     | 79 -> 45 
Movimento: R55     | 45 -> 00 <-- ZERO
Movimento: R26     | 00 -> 26 
Movimento: R74     | 26 -> 00 <-- ZERO
Movimento: L534    | 00 -> 66 
Movimento: L50     | 66 -> 16 
Movimento: R84     | 16 -> 00 <-- ZERO
Movimento: R31     | 00 -> 31 
Movimento: R19     | 31 -> 50 
Movimento: R71     | 50 -> 21 
Movimento: L643    | 21 -> 78 
Movimento: R83     | 78 -> 61 
Movimento: L74     | 61 -> 87 
Movimento: L87     | 87 -> 00 <-- ZERO
Movimento: L6      | 00 -> 94 
Movimento: R89     | 94 -> 83 
Movimento: R17     | 83 -> 00 <-- ZERO
Movimento: L57     | 00 -> 43 
Movimento: R57     | 43 -> 00 <-- ZERO
Movimento: L94     | 00 -> 06 
Movimento: R94     | 06 -> 00 <-- ZERO
Movimento: R66     | 00 -> 66 
Movimento: L687    | 66 -> 79 
Movimento: R21     | 79 -> 00 <-- ZERO
Movimento: R6      | 00 -> 06 
Movimento: R22     | 06 -> 28 
Movimento: R92     | 28 -> 20 
Movimento: R80     | 20 -> 00 <-- ZERO
Movimento: L542    | 00 -> 58 
Movimento: L13     | 58 -> 45 
Movimento: R55     | 45 -> 00 <-- ZERO
Movimento: R69     | 00 -> 69 
Movimento: R31     | 69 -> 00 <-- ZERO
Movimento: R69     | 00 -> 69 
Movimento: L343    | 69 -> 26 
Movimento: R86     | 26 -> 12 
Movimento: L134    | 12 -> 78 
Movimento: R24     | 78 -> 02 
Movimento: L2      | 02 -> 00 <-- ZERO
Movimento: L95     | 00 -> 05 
Movimento: L11     | 05 -> 94 
Movimento: L70     | 94 -> 24 
Movimento: R65     | 24 -> 89 
Movimento: R2      | 89 -> 91 
Movimento: R10     | 91 -> 01 
Movimento: R811    | 01 -> 12 
Movimento: R88     | 12 -> 00 <-- ZERO
Movimento: R55     | 00 -> 55 
Movimento: L16     | 55 -> 39 
Movimento: L439    | 39 -> 00 <-- ZERO
Movimento: L82     | 00 -> 18 
Movimento: L88     | 18 -> 30 
Movimento: R533    | 30 -> 63 
Movimento: R13     | 63 -> 76 
Movimento: R24     | 76 -> 00 <-- ZERO
Movimento: R73     | 00 -> 73 
Movimento: R42     | 73 -> 15 
Movimento: L30     | 15 -> 85 
Movimento: L804    | 85 -> 81 
Movimento: R97     | 81 -> 78 
Movimento: R622    | 78 -> 00 <-- ZERO
Movimento: R310    | 00 -> 10 
Movimento: L66     | 10 -> 44 
Movimento: R56     | 44 -> 00 <-- ZERO
Movimento: R95     | 00 -> 95 
Movimento: L89     | 95 -> 06 
Movimento: L6      | 06 -> 00 <-- ZERO
Movimento: R13     | 00 -> 13 
Movimento: R87     | 13 -> 00 <-- ZERO
Movimento: R10     | 00 -> 10 
Movimento: L10     | 10 -> 00 <-- ZERO
Movimento: R24     | 00 -> 24 
Movimento: L66     | 24 -> 58 
Movimento: R442    | 58 -> 00 <-- ZERO
Movimento: L30     | 00 -> 70 
Movimento: R38     | 70 -> 08 
Movimento: R46     | 08 -> 54 
Movimento: R46     | 54 -> 00 <-- ZERO
Movimento: R9      | 00 -> 09 
Movimento: L409    | 09 -> 00 <-- ZERO
Movimento: L47     | 00 -> 53 
Movimento: L89     | 53 -> 64 
Movimento: R515    | 64 -> 79 
Movimento: R13     | 79 -> 92 
Movimento: R48     | 92 -> 40 
Movimento: R40     | 40 -> 80 
Movimento: R98     | 80 -> 78 
Movimento: R22     | 78 -> 00 <-- ZERO
Movimento: L88     | 00 -> 12 
Movimento: R88     | 12 -> 00 <-- ZERO
Movimento: R90     | 00 -> 90 
Movimento: L20     | 90 -> 70 
Movimento: R30     | 70 -> 00 <-- ZERO
Movimento: L34     | 00 -> 66 
Movimento: R24     | 66 -> 90 
Movimento: R10     | 90 -> 00 <-- ZERO
Movimento: R9      | 00 -> 09 
Movimento: L33     | 09 -> 76 
Movimento: R38     | 76 -> 14 
Movimento: R54     | 14 -> 68 
Movimento: R329    | 68 -> 97 
Movimento: L97     | 97 -> 00 <-- ZERO
Movimento: L47     | 00 -> 53 
Movimento: R45     | 53 -> 98 
Movimento: L53     | 98 -> 45 
Movimento: L15     | 45 -> 30 
Movimento: R89     | 30 -> 19 
Movimento: R74     | 19 -> 93 
Movimento: R5      | 93 -> 98 
Movimento: L806    | 98 -> 92 
Movimento: L892    | 92 -> 00 <-- ZERO
Movimento: R14     | 00 -> 14 
Movimento: L22     | 14 -> 92 
Movimento: L92     | 92 -> 00 <-- ZERO
Movimento: R20     | 00 -> 20 
Movimento: R41     | 20 -> 61 
Movimento: L78     | 61 -> 83 
Movimento: L83     | 83 -> 00 <-- ZERO
Movimento: R47     | 00 -> 47 
Movimento: L47     | 47 -> 00 <-- ZERO
Movimento: L52     | 00 -> 48 
Movimento: L830    | 48 -> 18 
Movimento: R13     | 18 -> 31 
Movimento: L31     | 31 -> 00 <-- ZERO
Movimento: L2      | 00 -> 98 
Movimento: R90     | 98 -> 88 
Movimento: L776    | 88 -> 12 
Movimento: L428    | 12 -> 84 
Movimento: R16     | 84 -> 00 <-- ZERO
Movimento: R91     | 00 -> 91 
Movimento: L91     | 91 -> 00 <-- ZERO
Movimento: R79     | 00 -> 79 
Movimento: L55     | 79 -> 24 
Movimento: L45     | 24 -> 79 
Movimento: R12     | 79 -> 91 
Movimento: L91     | 91 -> 00 <-- ZERO
Movimento: L25     | 00 -> 75 
Movimento: R299    | 75 -> 74 
Movimento: L55     | 74 -> 19 
Movimento: L150    | 19 -> 69 
Movimento: L48     | 69 -> 21 
Movimento: R98     | 21 -> 19 
Movimento: L19     | 19 -> 00 <-- ZERO
Movimento: L86     | 00 -> 14 
Movimento: R46     | 14 -> 60 
Movimento: R40     | 60 -> 00 <-- ZERO
Movimento: R26     | 00 -> 26 
Movimento: L454    | 26 -> 72 
Movimento: R7      | 72 -> 79 
Movimento: L946    | 79 -> 33 
Movimento: L33     | 33 -> 00 <-- ZERO
Movimento: L19     | 00 -> 81 
Movimento: L981    | 81 -> 00 <-- ZERO
Movimento: R7      | 00 -> 07 
Movimento: L7      | 07 -> 00 <-- ZERO
Movimento: L51     | 00 -> 49 
Movimento: R51     | 49 -> 00 <-- ZERO
Movimento: R97     | 00 -> 97 
Movimento: R731    | 97 -> 28 
Movimento: R59     | 28 -> 87 
Movimento: L25     | 87 -> 62 
Movimento: L18     | 62 -> 44 
Movimento: R56     | 44 -> 00 <-- ZERO
Movimento: R69     | 00 -> 69 
Movimento: L468    | 69 -> 01 
Movimento: L65     | 01 -> 36 
Movimento: L36     | 36 -> 00 <-- ZERO
Movimento: L66     | 00 -> 34 
Movimento: R66     | 34 -> 00 <-- ZERO
Movimento: R38     | 00 -> 38 
Movimento: R62     | 38 -> 00 <-- ZERO
Movimento: L13     | 00 -> 87 
Movimento: L79     | 87 -> 08 
Movimento: L608    | 08 -> 00 <-- ZERO
Movimento: R90     | 00 -> 90 
Movimento: R80     | 90 -> 70 
Movimento: L74     | 70 -> 96 
Movimento: L25     | 96 -> 71 
Movimento: L17     | 71 -> 54 
Movimento: L16     | 54 -> 38 
Movimento: L26     | 38 -> 12 
Movimento: R88     | 12 -> 00 <-- ZERO
Movimento: R12     | 00 -> 12 
Movimento: L12     | 12 -> 00 <-- ZERO
Movimento: L50     | 00 -> 50 
Movimento: R22     | 50 -> 72 
Movimento: R89     | 72 -> 61 
Movimento: R7      | 61 -> 68 
Movimento: R665    | 68 -> 33 
Movimento: R467    | 33 -> 00 <-- ZERO
Movimento: L86     | 00 -> 14 
Movimento: L83     | 14 -> 31 
Movimento: L31     | 31 -> 00 <-- ZERO
Movimento: R91     | 00 -> 91 
Movimento: R9      | 91 -> 00 <-- ZERO
Movimento: L31     | 00 -> 69 
Movimento: L69     | 69 -> 00 <-- ZERO
Movimento: R11     | 00 -> 11 
Movimento: L6      | 11 -> 05 
Movimento: L605    | 05 -> 00 <-- ZERO
Movimento: L7      | 00 -> 93 
Movimento: R99     | 93 -> 92 
Movimento: R8      | 92 -> 00 <-- ZERO
Movimento: L76     | 00 -> 24 
Movimento: L982    | 24 -> 42 
Movimento: R53     | 42 -> 95 
Movimento: L92     | 95 -> 03 
Movimento: R92     | 03 -> 95 
Movimento: R56     | 95 -> 51 
Movimento: R49     | 51 -> 00 <-- ZERO
Movimento: R90     | 00 -> 90 
Movimento: L90     | 90 -> 00 <-- ZERO
Movimento: R82     | 00 -> 82 
Movimento: L882    | 82 -> 00 <-- ZERO
Movimento: R859    | 00 -> 59 
Movimento: L8      | 59 -> 51 
Movimento: L201    | 51 -> 50 
Movimento: L34     | 50 -> 16 
Movimento: L69     | 16 -> 47 
Movimento: L47     | 47 -> 00 <-- ZERO
Movimento: L25     | 00 -> 75 
Movimento: L73     | 75 -> 02 
Movimento: L75     | 02 -> 27 
Movimento: R25     | 27 -> 52 
Movimento: R690    | 52 -> 42 
Movimento: R44     | 42 -> 86 
Movimento: L9      | 86 -> 77 
Movimento: L77     | 77 -> 00 <-- ZERO
Movimento: L238    | 00 -> 62 
Movimento: L62     | 62 -> 00 <-- ZERO
Movimento: L83     | 00 -> 17 
Movimento: R27     | 17 -> 44 
Movimento: L89     | 44 -> 55 
Movimento: L355    | 55 -> 00 <-- ZERO
Movimento: R78     | 00 -> 78 
Movimento: L538    | 78 -> 40 
Movimento: R81     | 40 -> 21 
Movimento: L69     | 21 -> 52 
Movimento: L61     | 52 -> 91 
Movimento: R809    | 91 -> 00 <-- ZERO
Movimento: R89     | 00 -> 89 
Movimento: R11     | 89 -> 00 <-- ZERO
Movimento: R393    | 00 -> 93 
Movimento: R292    | 93 -> 85 
Movimento: L96     | 85 -> 89 
Movimento: L2      | 89 -> 87 
Movimento: L62     | 87 -> 25 
Movimento: R475    | 25 -> 00 <-- ZERO
Movimento: R50     | 00 -> 50 
Movimento: R41     | 50 -> 91 
Movimento: R9      | 91 -> 00 <-- ZERO
Movimento: R28     | 00 -> 28 
Movimento: L40     | 28 -> 88 
Movimento: L49     | 88 -> 39 
Movimento: R25     | 39 -> 64 
Movimento: L31     | 64 -> 33 
Movimento: L372    | 33 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: R672    | 00 -> 72 
Movimento: R32     | 72 -> 04 
Movimento: R96     | 04 -> 00 <-- ZERO
Movimento: R41     | 00 -> 41 
Movimento: L941    | 41 -> 00 <-- ZERO
Movimento: L18     | 00 -> 82 
Movimento: R76     | 82 -> 58 
Movimento: L58     | 58 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: R429    | 41 -> 70 
Movimento: L370    | 70 -> 00 <-- ZERO
Movimento: R55     | 00 -> 55 
Movimento: R87     | 55 -> 42 
Movimento: R86     | 42 -> 28 
Movimento: R72     | 28 -> 00 <-- ZERO
Movimento: R29     | 00 -> 29 
Movimento: R71     | 29 -> 00 <-- ZERO
Movimento: L92     | 00 -> 08 
Movimento: L462    | 08 -> 46 
Movimento: L97     | 46 -> 49 
Movimento: R61     | 49 -> 10 
Movimento: R90     | 10 -> 00 <-- ZERO
Movimento: L39     | 00 -> 61 
Movimento: L61     | 61 -> 00 <-- ZERO
Movimento: R93     | 00 -> 93 
Movimento: L39     | 93 -> 54 
Movimento: R23     | 54 -> 77 
Movimento: R23     | 77 -> 00 <-- ZERO
Movimento: R40     | 00 -> 40 
Movimento: R360    | 40 -> 00 <-- ZERO
Movimento: R769    | 00 -> 69 
Movimento: L69     | 69 -> 00 <-- ZERO
Movimento: R3      | 00 -> 03 
Movimento: L757    | 03 -> 46 
Movimento: R18     | 46 -> 64 
Movimento: L5      | 64 -> 59 
Movimento: R74     | 59 -> 33 
Movimento: L14     | 33 -> 19 
Movimento: R76     | 19 -> 95 
Movimento: R82     | 95 -> 77 
Movimento: L436    | 77 -> 41 
Movimento: R50     | 41 -> 91 
Movimento: L91     | 91 -> 00 <-- ZERO
Movimento: L66     | 00 -> 34 
Movimento: R66     | 34 -> 00 <-- ZERO
Movimento: R269    | 00 -> 69 
Movimento: R92     | 69 -> 61 
Movimento: L61     | 61 -> 00 <-- ZERO
Movimento: R83     | 00 -> 83 
Movimento: R758    | 83 -> 41 
Movimento: R2      | 41 -> 43 
Movimento: L43     | 43 -> 00 <-- ZERO
Movimento: L575    | 00 -> 25 
Movimento: L922    | 25 -> 03 
Movimento: R21     | 03 -> 24 
Movimento: L50     | 24 -> 74 
Movimento: L70     | 74 -> 04 
Movimento: R96     | 04 -> 00 <-- ZERO
Movimento: R38     | 00 -> 38 
Movimento: R62     | 38 -> 00 <-- ZERO
Movimento: L85     | 00 -> 15 
Movimento: R75     | 15 -> 90 
Movimento: R10     | 90 -> 00 <-- ZERO
Movimento: R129    | 00 -> 29 
Movimento: L30     | 29 -> 99 
Movimento: L99     | 99 -> 00 <-- ZERO
Movimento: L92     | 00 -> 08 
Movimento: R592    | 08 -> 00 <-- ZERO
Movimento: L13     | 00 -> 87 
Movimento: R30     | 87 -> 17 
Movimento: R56     | 17 -> 73 
Movimento: R29     | 73 -> 02 
Movimento: L27     | 02 -> 75 
Movimento: R94     | 75 -> 69 
Movimento: R65     | 69 -> 34 
Movimento: L22     | 34 -> 12 
Movimento: L95     | 12 -> 17 
Movimento: R83     | 17 -> 00 <-- ZERO
Movimento: L682    | 00 -> 18 
Movimento: R71     | 18 -> 89 
Movimento: L22     | 89 -> 67 
Movimento: L1      | 67 -> 66 
Movimento: L77     | 66 -> 89 
Movimento: L37     | 89 -> 52 
Movimento: L3      | 52 -> 49 
Movimento: R51     | 49 -> 00 <-- ZERO
Movimento: R59     | 00 -> 59 
Movimento: R41     | 59 -> 00 <-- ZERO
Movimento: L93     | 00 -> 07 
Movimento: R85     | 07 -> 92 
Movimento: L90     | 92 -> 02 
Movimento: L2      | 02 -> 00 <-- ZERO
Movimento: L18     | 00 -> 82 
Movimento: R60     | 82 -> 42 
Movimento: R58     | 42 -> 00 <-- ZERO
Movimento: R90     | 00 -> 90 
Movimento: R10     | 90 -> 00 <-- ZERO
Movimento: R6      | 00 -> 06 
Movimento: L81     | 06 -> 25 
Movimento: L25     | 25 -> 00 <-- ZERO
Movimento: R5      | 00 -> 05 
Movimento: R45     | 05 -> 50 
Movimento: L15     | 50 -> 35 
Movimento: L35     | 35 -> 00 <-- ZERO
Movimento: L37     | 00 -> 63 
Movimento: R31     | 63 -> 94 
Movimento: L391    | 94 -> 03 
Movimento: L29     | 03 -> 74 
Movimento: R313    | 74 -> 87 
Movimento: L388    | 87 -> 99 
Movimento: L99     | 99 -> 00 <-- ZERO
Movimento: L25     | 00 -> 75 
Movimento: R8      | 75 -> 83 
Movimento: L48     | 83 -> 35 
Movimento: R65     | 35 -> 00 <-- ZERO
Movimento: L88     | 00 -> 12 
Movimento: R70     | 12 -> 82 
Movimento: R68     | 82 -> 50 
Movimento: R50     | 50 -> 00 <-- ZERO
Movimento: R257    | 00 -> 57 
Movimento: R43     | 57 -> 00 <-- ZERO
Movimento: L92     | 00 -> 08 
Movimento: L47     | 08 -> 61 
Movimento: L26     | 61 -> 35 
Movimento: L573    | 35 -> 62 
Movimento: R38     | 62 -> 00 <-- ZERO
Movimento: R31     | 00 -> 31 
Movimento: R826    | 31 -> 57 
Movimento: R43     | 57 -> 00 <-- ZERO
Movimento: R5      | 00 -> 05 
Movimento: L79     | 05 -> 26 
Movimento: R970    | 26 -> 96 
Movimento: R53     | 96 -> 49 
Movimento: R1      | 49 -> 50 
Movimento: L41     | 50 -> 09 
Movimento: R68     | 09 -> 77 
Movimento: R52     | 77 -> 29 
Movimento: R71     | 29 -> 00 <-- ZERO
Movimento: R65     | 00 -> 65 
Movimento: L93     | 65 -> 72 
Movimento: L572    | 72 -> 00 <-- ZERO
Movimento: L47     | 00 -> 53 
Movimento: R47     | 53 -> 00 <-- ZERO
Movimento: L40     | 00 -> 60 
Movimento: L94     | 60 -> 66 
Movimento: L66     | 66 -> 00 <-- ZERO
Movimento: R56     | 00 -> 56 
Movimento: R44     | 56 -> 00 <-- ZERO
Movimento: R84     | 00 -> 84 
Movimento: R754    | 84 -> 38 
Movimento: L316    | 38 -> 22 
Movimento: R98     | 22 -> 20 
Movimento: R440    | 20 -> 60 
Movimento: L97     | 60 -> 63 
Movimento: R37     | 63 -> 00 <-- ZERO
Movimento: R61     | 00 -> 61 
Movimento: L57     | 61 -> 04 
Movimento: R13     | 04 -> 17 
Movimento: R83     | 17 -> 00 <-- ZERO
Movimento: R31     | 00 -> 31 
Movimento: R98     | 31 -> 29 
Movimento: L29     | 29 -> 00 <-- ZERO
Movimento: L82     | 00 -> 18 
Movimento: R982    | 18 -> 00 <-- ZERO
Movimento: L632    | 00 -> 68 
Movimento: L968    | 68 -> 00 <-- ZERO
Movimento: R60     | 00 -> 60 
Movimento: L60     | 60 -> 00 <-- ZERO
Movimento: L19     | 00 -> 81 
Movimento: R419    | 81 -> 00 <-- ZERO
Movimento: L864    | 00 -> 36 
Movimento: L36     | 36 -> 00 <-- ZERO
Movimento: L66     | 00 -> 34 
Movimento: L71     | 34 -> 63 
Movimento: R37     | 63 -> 00 <-- ZERO
Movimento: L89     | 00 -> 11 
Movimento: R93     | 11 -> 04 
Movimento: L32     | 04 -> 72 
Movimento: L49     | 72 -> 23 
Movimento: L83     | 23 -> 40 
Movimento: L540    | 40 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: L86     | 41 -> 55 
Movimento: R45     | 55 -> 00 <-- ZERO
Movimento: L87     | 00 -> 13 
Movimento: R790    | 13 -> 03 
Movimento: R697    | 03 -> 00 <-- ZERO
Movimento: R553    | 00 -> 53 
Movimento: L281    | 53 -> 72 
Movimento: R41     | 72 -> 13 
Movimento: R56     | 13 -> 69 
Movimento: R31     | 69 -> 00 <-- ZERO
Movimento: R70     | 00 -> 70 
Movimento: L70     | 70 -> 00 <-- ZERO
Movimento: R28     | 00 -> 28 
Movimento: L28     | 28 -> 00 <-- ZERO
Movimento: L39     | 00 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: R86     | 00 -> 86 
Movimento: R14     | 86 -> 00 <-- ZERO
Movimento: L89     | 00 -> 11 
Movimento: R89     | 11 -> 00 <-- ZERO
Movimento: R323    | 00 -> 23 
Movimento: L968    | 23 -> 55 
Movimento: L55     | 55 -> 00 <-- ZERO
Movimento: R54     | 00 -> 54 
Movimento: L82     | 54 -> 72 
Movimento: L97     | 72 -> 75 
Movimento: L36     | 75 -> 39 
Movimento: R61     | 39 -> 00 <-- ZERO
Movimento: R19     | 00 -> 19 
Movimento: L19     | 19 -> 00 <-- ZERO
Movimento: L33     | 00 -> 67 
Movimento: L51     | 67 -> 16 
Movimento: L54     | 16 -> 62 
Movimento: R20     | 62 -> 82 
Movimento: L79     | 82 -> 03 
Movimento: L630    | 03 -> 73 
Movimento: L73     | 73 -> 00 <-- ZERO
Movimento: R61     | 00 -> 61 
Movimento: R54     | 61 -> 15 
Movimento: R47     | 15 -> 62 
Movimento: L62     | 62 -> 00 <-- ZERO
Movimento: R453    | 00 -> 53 
Movimento: R47     | 53 -> 00 <-- ZERO
Movimento: L40     | 00 -> 60 
Movimento: R359    | 60 -> 19 
Movimento: L97     | 19 -> 22 
Movimento: R4      | 22 -> 26 
Movimento: R30     | 26 -> 56 
Movimento: L84     | 56 -> 72 
Movimento: L72     | 72 -> 00 <-- ZERO
Movimento: R657    | 00 -> 57 
Movimento: R56     | 57 -> 13 
Movimento: R95     | 13 -> 08 
Movimento: L71     | 08 -> 37 
Movimento: L4      | 37 -> 33 
Movimento: L92     | 33 -> 41 
Movimento: L57     | 41 -> 84 
Movimento: L708    | 84 -> 76 
Movimento: L42     | 76 -> 34 
Movimento: R66     | 34 -> 00 <-- ZERO
Movimento: L37     | 00 -> 63 
Movimento: L463    | 63 -> 00 <-- ZERO
Movimento: L29     | 00 -> 71 
Movimento: R729    | 71 -> 00 <-- ZERO
Movimento: R96     | 00 -> 96 
Movimento: L96     | 96 -> 00 <-- ZERO
Movimento: L40     | 00 -> 60 
Movimento: R40     | 60 -> 00 <-- ZERO
Movimento: L64     | 00 -> 36 
Movimento: L36     | 36 -> 00 <-- ZERO
Movimento: L529    | 00 -> 71 
Movimento: R3      | 71 -> 74 
Movimento: L74     | 74 -> 00 <-- ZERO
Movimento: L33     | 00 -> 67 
Movimento: L66     | 67 -> 01 
Movimento: L51     | 01 -> 50 
Movimento: R6      | 50 -> 56 
Movimento: L413    | 56 -> 43 
Movimento: R74     | 43 -> 17 
Movimento: L67     | 17 -> 50 
Movimento: L50     | 50 -> 00 <-- ZERO
Movimento: R19     | 00 -> 19 
Movimento: R181    | 19 -> 00 <-- ZERO
Movimento: L404    | 00 -> 96 
Movimento: R68     | 96 -> 64 
Movimento: L76     | 64 -> 88 
Movimento: L937    | 88 -> 51 
Movimento: L93     | 51 -> 58 
Movimento: L10     | 58 -> 48 
Movimento: L48     | 48 -> 00 <-- ZERO
Movimento: L615    | 00 -> 85 
Movimento: R11     | 85 -> 96 
Movimento: R56     | 96 -> 52 
Movimento: R48     | 52 -> 00 <-- ZERO
Movimento: R69     | 00 -> 69 
Movimento: R31     | 69 -> 00 <-- ZERO
Movimento: R94     | 00 -> 94 
Movimento: R672    | 94 -> 66 
Movimento: R88     | 66 -> 54 
Movimento: L90     | 54 -> 64 
Movimento: L44     | 64 -> 20 
Movimento: L20     | 20 -> 00 <-- ZERO
Movimento: L76     | 00 -> 24 
Movimento: L24     | 24 -> 00 <-- ZERO
Movimento: L85     | 00 -> 15 
Movimento: R85     | 15 -> 00 <-- ZERO
Movimento: L374    | 00 -> 26 
Movimento: L126    | 26 -> 00 <-- ZERO
Movimento: R67     | 00 -> 67 
Movimento: R97     | 67 -> 64 
Movimento: R69     | 64 -> 33 
Movimento: L33     | 33 -> 00 <-- ZERO
Movimento: L3      | 00 -> 97 
Movimento: R19     | 97 -> 16 
Movimento: L79     | 16 -> 37 
Movimento: L86     | 37 -> 51 
Movimento: L132    | 51 -> 19 
Movimento: L37     | 19 -> 82 
Movimento: R18     | 82 -> 00 <-- ZERO
Movimento: L288    | 00 -> 12 
Movimento: L12     | 12 -> 00 <-- ZERO
Movimento: R55     | 00 -> 55 
Movimento: R45     | 55 -> 00 <-- ZERO
Movimento: R83     | 00 -> 83 
Movimento: R62     | 83 -> 45 
Movimento: R55     | 45 -> 00 <-- ZERO
Movimento: L78     | 00 -> 22 
Movimento: R859    | 22 -> 81 
Movimento: R19     | 81 -> 00 <-- ZERO
Movimento: L34     | 00 -> 66 
Movimento: L966    | 66 -> 00 <-- ZERO
Movimento: L35     | 00 -> 65 
Movimento: R29     | 65 -> 94 
Movimento: L94     | 94 -> 00 <-- ZERO
Movimento: L23     | 00 -> 77 
Movimento: R75     | 77 -> 52 
Movimento: R22     | 52 -> 74 
Movimento: R55     | 74 -> 29 
Movimento: R399    | 29 -> 28 
Movimento: R38     | 28 -> 66 
Movimento: R428    | 66 -> 94 
Movimento: R6      | 94 -> 00 <-- ZERO
Movimento: L30     | 00 -> 70 
Movimento: R24     | 70 -> 94 
Movimento: L75     | 94 -> 19 
Movimento: L97     | 19 -> 22 
Movimento: R29     | 22 -> 51 
Movimento: R56     | 51 -> 07 
Movimento: R22     | 07 -> 29 
Movimento: L54     | 29 -> 75 
Movimento: R25     | 75 -> 00 <-- ZERO
Movimento: R999    | 00 -> 99 
Movimento: R95     | 99 -> 94 
Movimento: L269    | 94 -> 25 
Movimento: L659    | 25 -> 66 
Movimento: L13     | 66 -> 53 
Movimento: R34     | 53 -> 87 
Movimento: L68     | 87 -> 19 
Movimento: L25     | 19 -> 94 
Movimento: R6      | 94 -> 00 <-- ZERO
Movimento: L23     | 00 -> 77 
Movimento: L58     | 77 -> 19 
Movimento: R81     | 19 -> 00 <-- ZERO
Movimento: R68     | 00 -> 68 
Movimento: L68     | 68 -> 00 <-- ZERO
Movimento: R634    | 00 -> 34 
Movimento: R66     | 34 -> 00 <-- ZERO
Movimento: R89     | 00 -> 89 
Movimento: R79     | 89 -> 68 
Movimento: R32     | 68 -> 00 <-- ZERO
Movimento: L37     | 00 -> 63 
Movimento: L63     | 63 -> 00 <-- ZERO
Movimento: R25     | 00 -> 25 
Movimento: L80     | 25 -> 45 
Movimento: R72     | 45 -> 17 
Movimento: L852    | 17 -> 65 
Movimento: L365    | 65 -> 00 <-- ZERO
Movimento: L7      | 00 -> 93 
Movimento: R42     | 93 -> 35 
Movimento: L60     | 35 -> 75 
Movimento: L58     | 75 -> 17 
Movimento: L823    | 17 -> 94 
Movimento: L94     | 94 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: R306    | 41 -> 47 
Movimento: L25     | 47 -> 22 
Movimento: R78     | 22 -> 00 <-- ZERO
Movimento: L29     | 00 -> 71 
Movimento: R29     | 71 -> 00 <-- ZERO
Movimento: R86     | 00 -> 86 
Movimento: L486    | 86 -> 00 <-- ZERO
Movimento: R891    | 00 -> 91 
Movimento: L94     | 91 -> 97 
Movimento: R3      | 97 -> 00 <-- ZERO
Movimento: L13     | 00 -> 87 
Movimento: L60     | 87 -> 27 
Movimento: R97     | 27 -> 24 
Movimento: L424    | 24 -> 00 <-- ZERO
Movimento: R76     | 00 -> 76 
Movimento: L76     | 76 -> 00 <-- ZERO
Movimento: R919    | 00 -> 19 
Movimento: R81     | 19 -> 00 <-- ZERO
Movimento: L23     | 00 -> 77 
Movimento: L577    | 77 -> 00 <-- ZERO
Movimento: L81     | 00 -> 19 
Movimento: R25     | 19 -> 44 
Movimento: L44     | 44 -> 00 <-- ZERO
Movimento: L91     | 00 -> 09 
Movimento: R916    | 09 -> 25 
Movimento: L86     | 25 -> 39 
Movimento: L809    | 39 -> 30 
Movimento: L47     | 30 -> 83 
Movimento: R725    | 83 -> 08 
Movimento: L5      | 08 -> 03 
Movimento: R46     | 03 -> 49 
Movimento: L49     | 49 -> 00 <-- ZERO
Movimento: L291    | 00 -> 09 
Movimento: L29     | 09 -> 80 
Movimento: R92     | 80 -> 72 
Movimento: R668    | 72 -> 40 
Movimento: L40     | 40 -> 00 <-- ZERO
Movimento: R91     | 00 -> 91 
